Date,Open,High,Low,Close,Adj Close,Volume
2018-12-28,157.500000,158.520004,154.550003,156.229996,154.966034,42291400
2018-12-31,158.529999,159.360001,156.479996,157.740005,156.463837,35003500
2019-01-02,154.889999,158.850006,154.229996,157.919998,156.642365,37039700
2019-01-03,143.979996,145.720001,142.000000,142.190002,141.039642,91244100
2019-01-04,144.529999,148.550003,143.800003,148.259995,147.060516,58607100
2019-01-07,148.699997,148.830002,145.899994,147.929993,146.733185,54777800
2019-01-08,149.559998,151.820007,148.520004,150.750000,149.530380,41025300
2019-01-09,151.289993,154.529999,149.630005,153.309998,152.069672,45099100
2019-01-10,152.500000,153.970001,150.860001,153.800003,152.555710,35780700
2019-01-11,152.880005,153.699997,151.509995,152.289993,151.057922,27023200
2019-01-14,150.850006,151.270004,149.220001,150.000000,148.786438,32439200
2019-01-15,150.270004,153.389999,150.050003,153.070007,151.831619,28710900
2019-01-16,153.080002,155.880005,153.000000,154.940002,153.686493,30569700
2019-01-17,154.199997,157.660004,153.259995,155.860001,154.599045,29821200
2019-01-18,157.500000,157.880005,155.979996,156.820007,155.551285,33751000
2019-01-22,156.410004,156.729996,152.619995,153.300003,152.059753,30394000
2019-01-23,154.149994,155.139999,151.699997,153.919998,152.674728,23130600
2019-01-24,154.110001,154.479996,151.740005,152.699997,151.464615,25441500
2019-01-25,155.479996,158.130005,154.320007,157.759995,156.483673,33535500
2019-01-28,155.789993,156.330002,153.660004,156.300003,155.035492,26192100
2019-01-29,156.250000,158.130005,154.110001,154.679993,153.428589,41587200
2019-01-30,163.250000,166.149994,160.229996,165.250000,163.913071,61109800
2019-01-31,166.110001,169.000000,164.559998,166.440002,165.093445,40739600
2019-02-01,166.960007,168.979996,165.929993,166.520004,165.172806,32668100
2019-02-04,167.410004,171.660004,167.279999,171.250000,169.864532,31495500
2019-02-05,172.860001,175.080002,172.350006,174.179993,172.770813,36101600
2019-02-06,174.649994,175.570007,172.850006,174.240005,172.830338,28239600
2019-02-07,172.399994,173.940002,170.339996,170.940002,169.557037,31741700
2019-02-08,168.990005,170.660004,168.419998,170.410004,169.756271,23820000
2019-02-11,171.050003,171.210007,169.250000,169.429993,168.780029,20993400
2019-02-12,170.100006,171.000000,169.699997,170.889999,170.234436,22283500
2019-02-13,171.389999,172.479996,169.919998,170.179993,169.527145,22490200
2019-02-14,169.710007,171.259995,169.380005,170.800003,170.144775,21835700
2019-02-15,171.250000,171.699997,169.750000,170.419998,169.766235,24626800
2019-02-19,169.710007,171.440002,169.490005,170.929993,170.274261,18972800
2019-02-20,171.190002,173.320007,170.990005,172.029999,171.370056,26114400
2019-02-21,171.800003,172.369995,170.300003,171.059998,170.403778,17249700
2019-02-22,171.580002,173.000000,171.380005,172.970001,172.306458,18913200
2019-02-25,174.160004,175.869995,173.949997,174.229996,173.561615,21873400
2019-02-26,173.710007,175.300003,173.169998,174.330002,173.661240,17070200
2019-02-27,173.210007,175.000000,172.729996,174.869995,174.199158,27835400
2019-02-28,174.320007,174.910004,172.919998,173.149994,172.485748,28215400
2019-03-01,174.279999,175.149994,172.889999,174.970001,174.298782,25886200
2019-03-04,175.690002,177.750000,173.970001,175.850006,175.175415,27436200
2019-03-05,175.940002,176.000000,174.539993,175.529999,174.856628,19737400
2019-03-06,174.669998,175.490005,173.940002,174.520004,173.850510,20810400
2019-03-07,173.869995,174.440002,172.020004,172.500000,171.838257,24760900
2019-03-08,170.320007,173.070007,169.500000,172.910004,172.246689,23999400
2019-03-11,175.490005,179.119995,175.350006,178.899994,178.213699,32011000
2019-03-12,180.000000,182.669998,179.369995,180.910004,180.215988,32467600
2019-03-13,182.250000,183.300003,180.919998,181.710007,181.012924,31032500
2019-03-14,183.899994,184.100006,182.559998,183.729996,183.025162,23579500
2019-03-15,184.850006,187.330002,183.740005,186.119995,185.406006,39042900
